t,y,yref
760,0.20467,0.19906
762.5,0.20221,0.1979
765,0.19898,0.1967
767.5,0.19492,0.19548
770,0.1902,0.19427
772.5,0.18508,0.19313
775,0.17991,0.19207
777.5,0.175,0.19115
780,0.17063,0.19037
782.5,0.16704,0.18975
785,0.16437,0.1893
787.5,0.1627,0.18902
790,0.16205,0.18889
792.5,0.16236,0.18891
795,0.16354,0.18906
797.5,0.16545,0.18931
800,0.16795,0.18965
802.5,0.17088,0.19006
805,0.17409,0.19051
807.5,0.17743,0.19099
810,0.18076,0.19148
812.5,0.18398,0.19197
815,0.18699,0.19245
817.5,0.18973,0.19292
820,0.19215,0.19335
822.5,0.19425,0.19376
825,0.19602,0.19413
827.5,0.19745,0.19447
830,0.19858,0.19478
832.5,0.19941,0.19507
835,0.19999,0.19532
837.5,0.20034,0.19556
840,0.2005,0.19578
842.5,0.20051,0.19599
845,0.20039,0.19619
847.5,0.20018,0.19638
850,0.19992,0.19659
852.5,0.19964,0.19679
855,0.19938,0.19701
857.5,0.19915,0.19724
860,0.199,0.19749
862.5,0.19893,0.19775
865,0.19899,0.19803
867.5,0.19917,0.19834
870,0.19948,0.19865
872.5,0.19994,0.19898
875,0.20055,0.19932
877.5,0.20132,0.19967
880,0.20225,0.20002
882.5,0.20331,0.20036
885,0.20448,0.20069
887.5,0.20571,0.201
890,0.20694,0.20127
892.5,0.2081,0.20151
895,0.20914,0.2017
897.5,0.20999,0.20184
900,0.2106,0.20193
902.5,0.21094,0.20196
905,0.21099,0.20194
907.5,0.21074,0.20187
910,0.21022,0.20176
912.5,0.20943,0.20161
915,0.20843,0.20144
917.5,0.20726,0.20124
920,0.20597,0.20104
922.5,0.20463,0.20083
925,0.20327,0.20063
927.5,0.20196,0.20044
930,0.20075,0.20026
932.5,0.19966,0.2001
935,0.19873,0.19997
937.5,0.19798,0.19986
940,0.1974,0.19978
942.5,0.19702,0.19972
945,0.19681,0.19968
947.5,0.19676,0.19966
950,0.19686,0.19966
952.5,0.19707,0.19966
955,0.19736,0.19968
957.5,0.19772,0.1997
960,0.1981,0.19972
962.5,0.19849,0.19975
965,0.19887,0.19976
967.5,0.19921,0.19977
970,0.1995,0.19978
972.5,0.19973,0.19978
975,0.19989,0.19976
977.5,0.19998,0.19975
980,0.19999,0.19972
982.5,0.19993,0.19969
985,0.19981,0.19965
987.5,0.19963,0.19962
990,0.19941,0.19958
992.5,0.19916,0.19955
995,0.1989,0.19952
997.5,0.19864,0.19951
1000,0.1984,0.1995
1002.5,0.1982,0.1995
1005,0.19804,0.19951
1007.5,0.19794,0.19954
1010,0.19791,0.19958
1012.5,0.19795,0.19963
1015,0.051262,0.19693
1017.5,0,0.19738
1020,0,0.20407
1022.5,0,0.21798
1025,0,0.23868
1027.5,0,0.26498
1030,0,0.2954
1032.5,0,0.32839
1035,0,0.36252
1037.5,0.21419,0.39649
1040,0.38544,0.4292
1042.5,0.51652,0.45975
1045,0.61509,0.48745
1047.5,0.6876,0.51183
1050,0.73933,0.53263
1052.5,0.77448,0.54981
1055,0.79642,0.56352
1057.5,0.80783,0.57407
1060,0.81089,0.58188
1062.5,0.80747,0.58744
1065,0.7992,0.59127
1067.5,0.78756,0.59383
1070,0.77386,0.59556
1072.5,0.75926,0.59679
1075,0.74473,0.5978
1077.5,0.73103,0.59877
1080,0.71867,0.59979
1082.5,0.70795,0.60092
1085,0.69894,0.60217
1087.5,0.69156,0.6035
1090,0.68564,0.60488
1092.5,0.6809,0.60624
1095,0.67706,0.60755
1097.5,0.67385,0.60874
1100,0.67101,0.60978
1102.5,0.66835,0.61066
1105,0.66571,0.61133
1107.5,0.66299,0.61181
1110,0.6601,0.61209
1112.5,0.65702,0.61218
1115,0.65375,0.6121
1117.5,0.6503,0.61186
1120,0.6467,0.61148
1122.5,0.64301,0.61099
1125,0.63927,0.61042
1127.5,0.63553,0.60977
1130,0.63184,0.60908
1132.5,0.62825,0.60836
1135,0.6248,0.60763
1137.5,0.62152,0.6069
1140,0.61844,0.60619
1142.5,0.6156,0.6055
1145,0.61299,0.60485
1147.5,0.61063,0.60425
1150,0.60853,0.60369
1152.5,0.60668,0.60318
1155,0.60508,0.60272
1157.5,0.60372,0.60231
1160,0.60259,0.60195
1162.5,0.60168,0.60164
1165,0.60095,0.60138
1167.5,0.60041,0.60116
1170,0.60002,0.60098
1172.5,0.59978,0.60084
1175,0.59965,0.60073
1177.5,0.59963,0.60065
1180,0.5997,0.60059
1182.5,0.59984,0.60055
1185,0.60003,0.60053
1187.5,0.60027,0.60051
1190,0.60053,0.60051
1192.5,0.6008,0.60051
1195,0.60108,0.60051
1197.5,0.60135,0.60051
1200,0.60159,0.60051
1202.5,0.60136,0.6005
1205,0.60084,0.60048
1207.5,0.60017,0.60044
1210,0.59945,0.6004
1212.5,0.59874,0.60034
1215,0.59808,0.60028
1217.5,0.59748,0.6002
1220,0.59694,0.60012
1222.5,0.59645,0.60004
1225,0.59599,0.59997
1227.5,0.59556,0.5999
1230,0.59514,0.59986
1232.5,0.59474,0.59985
1235,0.59437,0.59989
1237.5,0.59405,0.59998
1240,0.59382,0.60013
1242.5,0.59373,0.60036
1245,0.59383,0.60068
1247.5,0.59419,0.60109
1250,0.59484,0.60159
1252.5,0.59584,0.60218
1255,0.59719,0.60286
1257.5,0.59888,0.60362
1260,0.60088,0.60442
1262.5,0.6031,0.60526
1265,0.60564,0.60612
1267.5,0.60854,0.60699
1270,0.61176,0.60786
1272.5,0.61516,0.60866
1275,0.61852,0.60935
1277.5,0.62157,0.60989
1280,0.62407,0.61021
1282.5,0.62579,0.61029
1285,0.6266,0.61011
1287.5,0.6264,0.60966
1290,0.62519,0.60897
1292.5,0.62305,0.60806
1295,0.62009,0.60698
1297.5,0.61649,0.60578
1300,0.61244,0.60452
1302.5,0.60817,0.60325
1305,0.6039,0.60201
1307.5,0.59981,0.60086
1310,0.59609,0.59983
1312.5,0.59287,0.59895
1315,0.59024,0.59822
1317.5,0.58827,0.59766
1320,0.58695,0.59726
1322.5,0.58626,0.59702
1325,0.58614,0.59691
1327.5,0.58652,0.59692
1330,0.5873,0.59703
1332.5,0.58837,0.59721
1335,0.58965,0.59744
1337.5,0.59105,0.59771
1340,0.59248,0.59799
1342.5,0.59388,0.59828
1345,0.5952,0.59855
1347.5,0.5964,0.59881
1350,0.59746,0.59904
1352.5,0.59836,0.59924
1355,0.59911,0.59942
1357.5,0.59971,0.59956
1360,0.60016,0.59968
1362.5,0.60049,0.59978
1365,0.60071,0.59985
1367.5,0.60085,0.5999
1370,0.60091,0.59994
1372.5,0.60092,0.59997
1375,0.60089,0.59999
1377.5,0.60084,0.6
1380,0.60077,0.60001
1382.5,0.6007,0.60002
1385,0.60063,0.60003
1387.5,0.60057,0.60004
1390,0.60051,0.60004
1392.5,0.60047,0.60005
1395,0.60044,0.60006
1397.5,0.60042,0.60007
1400,0.6004,0.60008
1402.5,0.6004,0.60009
1405,0.6004,0.6001
1407.5,0.6004,0.60011
1410,0.60041,0.60012
1412.5,0.60041,0.60013
1415,0.60041,0.60013
1417.5,0.6004,0.60013
1420,0.60039,0.60014
1422.5,0.60037,0.60013
1425,0.60035,0.60013
1427.5,0.60031,0.60012
1430,0.60028,0.60012
1432.5,0.60023,0.60011
1435,0.60018,0.6001
1437.5,0.60012,0.60009
1440,0.60007,0.60007
1442.5,0.60001,0.60006
1445,0.59995,0.60005
1447.5,0.59989,0.60004
