t,y,yref
1195,0.75523,0.60051
1197.5,0.75522,0.60051
1200,0.75521,0.60051
1202.5,0.75519,0.6005
1205,0.75409,0.60048
1207.5,0.75223,0.60044
1210,0.74998,0.6004
1212.5,0.7476,0.60034
1215,0.74531,0.60028
1217.5,0.74327,0.6002
1220,0.74159,0.60012
1222.5,0.74032,0.60004
1225,0.73949,0.59997
1227.5,0.73908,0.5999
1230,0.73903,0.59986
1232.5,0.73928,0.59985
1235,0.73975,0.59989
1237.5,0.74038,0.59998
1240,0.7411,0.60013
1242.5,0.74187,0.60036
1245,0.74264,0.60068
1247.5,0.74342,0.60109
1250,0.74418,0.60159
1252.5,0.74494,0.60218
1255,0.74571,0.60286
1257.5,0.74647,0.60362
1260,0.74725,0.60442
1262.5,0.74802,0.60526
1265,0.74882,0.60612
1267.5,0.74965,0.60699
1270,0.75052,0.60786
1272.5,0.75137,0.60866
1275,0.75218,0.60935
1277.5,0.75287,0.60989
1280,0.75338,0.61021
1282.5,0.75367,0.61029
1285,0.75371,0.61011
1287.5,0.75347,0.60966
1290,0.75296,0.60897
1292.5,0.7522,0.60806
1295,0.75124,0.60698
1297.5,0.75012,0.60578
1300,0.7489,0.60452
1302.5,0.74764,0.60325
1305,0.74639,0.60201
1307.5,0.74521,0.60086
1310,0.74414,0.59983
1312.5,0.74321,0.59895
1315,0.74245,0.59822
1317.5,0.74186,0.59766
1320,0.74145,0.59726
1322.5,0.74121,0.59702
1325,0.74112,0.59691
1327.5,0.74116,0.59692
1330,0.74131,0.59703
1332.5,0.74154,0.59721
1335,0.74184,0.59744
1337.5,0.74217,0.59771
1340,0.74252,0.59799
1342.5,0.74286,0.59828
1345,0.74319,0.59855
1347.5,0.7435,0.59881
1350,0.74377,0.59904
1352.5,0.74401,0.59924
1355,0.74422,0.59942
1357.5,0.74438,0.59956
1360,0.74451,0.59968
1362.5,0.74461,0.59978
1365,0.74468,0.59985
1367.5,0.74473,0.5999
1370,0.74477,0.59994
1372.5,0.74478,0.59997
1375,0.74479,0.59999
1377.5,0.74479,0.6
1380,0.74479,0.60001
1382.5,0.74479,0.60002
1385,0.74478,0.60003
1387.5,0.74478,0.60004
1390,0.74478,0.60004
1392.5,0.74478,0.60005
1395,0.74479,0.60006
1397.5,0.74479,0.60007
1400,0.7448,0.60008
1402.5,0.7448,0.60009
1405,0.74481,0.6001
1407.5,0.74481,0.60011
1410,0.74481,0.60012
1412.5,0.74481,0.60013
1415,0.7448,0.60013
1417.5,0.74478,0.60013
1420,0.74476,0.60014
1422.5,0.74473,0.60013
1425,0.74469,0.60013
1427.5,0.74465,0.60012
1430,0.7446,0.60012
1432.5,0.74455,0.60011
1435,0.7445,0.6001
1437.5,0.74444,0.60009
1440,0.74438,0.60007
1442.5,0.74433,0.60006
1445,0.74428,0.60005
1447.5,0.74423,0.60004
1450,0.7442,0.60003
1452.5,0.74417,0.60002
1455,0.74416,0.60002
1457.5,0.74417,0.60001
1460,0.74419,0.60001
1462.5,0.74424,0.60002
1465,0.7443,0.60003
1467.5,0.74439,0.60004
1470,0.74448,0.60005
1472.5,0.74459,0.60007
1475,0.74469,0.60009
1477.5,0.7448,0.60012
1480,0.7449,0.60015
1482.5,0.74498,0.60017
1485,0.74506,0.6002
1487.5,0.74512,0.60023
1490,0.74517,0.60025
1492.5,0.74519,0.60028
1495,0.74521,0.60029
1497.5,0.7452,0.6003
1500,0.74519,0.60031
1502.5,0.74516,0.6003
1505,0.74512,0.60028
1507.5,0.74506,0.60026
1510,0.745,0.60022
1512.5,0.74493,0.60018
1515,0.72732,0.5874
1517.5,0.70405,0.57411
1520,0.69311,0.57225
1522.5,0.69402,0.57957
1525,0.70361,0.59412
1527.5,0.71902,0.61425
1530,0.73818,0.63854
1532.5,0.76011,0.6661
1535,0.78496,0.69678
1537.5,0.81206,0.72978
1540,0.84061,0.76405
1542.5,0.86979,0.79847
1545,0.89879,0.83203
1547.5,0.92687,0.8639
1550,0.95341,0.89346
1552.5,0.978,0.92037
1555,1.0005,0.94451
1557.5,1.0208,0.96597
1560,1.0391,0.98499
1562.5,1.0556,1.0019
